Crop Name,Area Name,Area of Land in acres,Amount of Production in Tons,Annual Average Rainfall in mm,Year,,,,,Annual Average Temparature
Aus,Faridpur ,467190,107464,,1984-85 ,,,,,
Aus,Jamalpur ,301940,122234,,1984-85 ,,,,,
Aus,Jessore ,443880,161406,,1984-85 ,,,,,
Aus,Khagrachari ,21075,11943,,1984-85 ,,,,,
Aus,Khulna ,73860,28084,,1984-85 ,,,,,
Aus,Kishoregonj ,286135,140330,,1984-85 ,,,,,
Aus,Kushtia ,330700,172190,,1984-85 ,,,,,
Aus,Mymensingh ,473915,215394,,1984-85 ,,,,,
Aus,Noakhali ,281960,141752,,1984-85 ,,,,,
Aus,Pabna ,369935,104791,,1984-85 ,,,,,
Aus,Patuakhali ,186595,57150,,1984-85 ,,,,,
Aus,Rajshahi ,520520,180072,,1984-85 ,,,,,
Aus,Rangamati ,15500,9353,,1984-85 ,,,,,
Aus,Rangpur ,841710,275837,,1984-85 ,,,,,
Aus,Sylhet ,393100,157785,,1984-85 ,,,,,
Aus,Tangail ,224575,71039,,1984-85 ,,,,,
Aus,Bandarban ,16685,10510,,1985-86 ,,,,,
Aus,Barisal ,478875,171965,,1985-86 ,,,,,
Aus,Bogra ,178675,84285,,1985-86 ,,,,,
Aus,Chittagong ,160170,103573,,1985-86 ,,,,,
Aus,Comilla ,413310,160545,,1985-86 ,,,,,
Aus,Dhaka ,282855,123688,,1985-86 ,,,,,
Aus,Dinajpur ,382540,169910,,1985-86 ,,,,,
Aus,Faridpur ,560900,149845,,1985-86 ,,,,,
Aus,Jamalpur ,283310,119840,,1985-86 ,,,,,
Aus,Jessore ,396590,156665,,1985-86 ,,,,,
Aus,Khagrachari ,19105,11945,,1985-86 ,,,,,
Aus,Khulna ,83680,32150,,1985-86 ,,,,,
Aus,Kishoregonj ,264660,125830,,1985-86 ,,,,,
Aus,Kushtia ,327915,170345,,1985-86 ,,,,,
Aus,Mymensingh ,440630,217721,,1985-86 ,,,,,
Aus,Noakhali ,314540,149770,,1985-86 ,,,,,
Aus,Pabna ,340350,103930,,1985-86 ,,,,,
Aus,Patuakhali ,207760,70645,,1985-86 ,,,,,
Aus,Rajshahi ,434905,154829,,1985-86 ,,,,,
Aus,Rangamati ,14280,9796,,1985-86 ,,,,,
Aus,Rangpur ,791700,290305,,1985-86 ,,,,,
Aus,Sylhet ,417490,163149,,1985-86 ,,,,,
Aus,Tangail ,219195,75990,,1985-86 ,,,,,
Aus,Bandarban ,20285,13340,,1986-87 ,,,,,
Aus,Barisal ,518090,215605,,1986-87 ,,,,,
Aus,Bogra ,188455,90920,,1986-87 ,,,,,
Aus,Chittagong ,144595,80500,,1986-87 ,,,,,
Aus,Comilla ,429945,202280,,1986-87 ,,,,,
Aus,Dhaka ,329715,143855,,1986-87 ,,,,,
Aus,Dinajpur ,315110,145675,,1986-87 ,,,,,
Aus,Faridpur ,602530,211660,,1986-87 ,,,,,
Aus,Jamalpur ,232775,108055,,1986-87 ,,,,,
Aus,Jessore ,532090,240375,,1986-87 ,,,,,
